ID,出典,単語・熟語,正解,誤答1,誤答2,誤答3,引用例文・和訳,解説・誤答分析,,,,,,,,,,,,,,,,,
22,2018-1,represent,～を代表する,～を崩壊させる,～を侮辱する,～を入手する,"""Wendy wants to **represent** her school in a national science contest."" （ウェンディは全国科学コンテストで学校を代表したいと思っています。）",【正解】学校の代表として出るという意味。準1級では「象徴する」の意味でも出ます。【誤答】collapse（崩壊させる）、insult（侮辱する）、obtain（入手する）。これらは実際の試験の選択肢にあった単語です。,,,,,,,,,,,,,,,,,
23,2018-1,mixture,混合、入り混じったもの,額（ひたい）,車線,衣装,"""...so there was always an interesting **mixture** of cultures in his home."" （...だから彼の家には常に興味深い文化の混合がありました。）",【正解】mixの名詞形。異文化が混ざり合っている状態。【誤答】forehead（額）、lane（車線）、costume（衣装）。形やジャンルが全く異なる名詞です。,,,,,,,,,,,,,,,,,
24,2018-1,isolated,孤立した、へんぴな,時間を守る,責任がある,怯えた,"""...because the area was so **isolated**."" （...その地域はとても孤立していた（へんぴだった）からです。）",【正解】island（島）と同語源。人が少なくて離れている場所。【誤答】punctual（時間を守る）、responsible（責任がある）、frightened（怯えた）。punctualは準1級・TOEICの頻出語。,,,,,,,,,,,,,,,,,
25,2018-1,guarantee,保証,非難,免許,呪文,"""...but there’s no **guarantee** that you’ll pass the final exam."" （...でも期末試験に受かるという保証はないわよ。）","【正解】確約すること。保証書。【誤答】blame（非難/責任）、license（免許）、spell（呪文/つづる）。blameは ""be to blame""（責任がある）の形で重要。",,,,,,,,,,,,,,,,,
26,2018-1,flexibility,柔軟性,重力,同情,記念日,"""She began stretching and doing yoga to improve her **flexibility**."" （彼女は柔軟性を高めるためにストレッチとヨガを始めました。）",【正解】体が柔らかいこと。ビジネスでは「対応の柔軟さ」として使われます。【誤答】gravity（重力）、sympathy（同情）、anniversary（記念日）。sympathy（同情）はempathy（共感）と区別しましょう。,,,,,,,,,,,,,,,,,
27,2018-1,violates,（規則などを）破る、違反する,遅らせる,接近する,翻訳する,"""If a student **violates** a rule, the school immediately calls his or her parents."" （もし生徒が規則を破ったら、学校はすぐに親に電話します。）",【正解】ルールや法律に背くこと。violence（暴力）と同語源。【誤答】delays（遅らせる）、approaches（接近する）、translates（翻訳する）。,,,,,,,,,,,,,,,,,
28,2018-1,landscape,風景、景色,本能,象徴,方針,"""The recent forest fires greatly changed the **landscape** around Amy’s town."" （最近の森林火災は、エイミーの町の周りの風景を大きく変えました。）",【正解】目に見える景色。land（土地）+ scape（状態）。【誤答】instinct（本能）、symbol（象徴）、policy（方針）。instinctは生物系の長文で必須です。,,,,,,,,,,,,,,,,,
29,2018-1,obviously,明らかに,嫉妬深く,奇妙に,気前よく,"""We’re **obviously** going to be late for our meeting."" （私たちは明らかに会議に遅れるよ。）",【正解】誰が見ても明らかな様子。clearよりも強い表現。【誤答】jealously（嫉妬深く）、strangely（奇妙に）、generously（気前よく）。generous（気前の良い）は性格描写で頻出。,,,,,,,,,,,,,,,,,
30,2018-1,at one time,同時に、かつて,限界を超えて,はるばる,空中で,"""...work there **at one time**. When there are more students than that, some have to wait."" （...一度に（同時に）そこで作業できます。それ以上の生徒がいると...）",【正解】simultaneously（同時に）の熟語表現。文脈によっては「かつて」の意味にもなります。【誤答】over the edge（常軌を逸して）、all the way（はるばる/完全に）、in the air（未定で/空中に）。,,,,,,,,,,,,,,,,,
31,2018-1,show up,現れる,離れる,試験的にやってみる,手を差し伸べる,"""...but he didn’t **show up** until ten o’clock."" （...しかし彼は10時まで現れませんでした。）",【正解】姿を見せる。appearの口語表現。【誤答】pull away（発車する/離れる）、try out（試す）、reach out（手を差し伸べる/接触する）。reach out toはビジネス英語で「連絡を取る」の意味で重要。,,,,,,,,,,,,,,,,,
32,2018-2,directly,直接に,歴史的に,かろうじて,以前に,"""She’d love to hear from you **directly**."" （彼女はあなたから直接連絡をもらえたら喜ぶでしょう。）",【正解】間に誰も挟まずに。【誤答】historically（歴史的に）、barely（かろうじて）、previously（以前に）。barelyは「ほとんど～ない」という準否定語としても重要。,,,,,,,,,,,,,,,,,
33,2018-2,features,～を特集する、特徴とする,削除する,監視する,思い出させる,"""The new movie **features** some very famous actors..."" （その新しい映画は、何人かの非常に有名な俳優を特集（起用）しています...）",【正解】大きな特徴として扱うこと。名詞では「特徴」。【誤答】deletes（削除する）、monitors（監視する）、reminds（思い出させる）。remind A of B（AにBを思い出させる）は必須。,,,,,,,,,,,,,,,,,
34,2018-2,urgent,緊急の,親戚の,気前の良い,残酷な,"""I have a very **urgent** message for her."" （彼女に非常に緊急の伝言があります。）",【正解】すぐに処置が必要なこと。urgency（緊急性）。【誤答】relative（親戚の/相対的な）、generous（気前の良い）、cruel（残酷な）。relativeは名詞と形容詞で意味が違うので注意。,,,,,,,,,,,,,,,,,
35,2018-2,statistics,統計（データ）,妥協,端末,宗教,"""The computer company studied its sales **statistics** to learn more..."" （コンピュータ会社は...知るために販売統計を調査しました。）",【正解】データ分析の結果。state（国家）が語源（国勢調査から）。【誤答】compromises（妥協）、terminals（端末/終点）、religions（宗教）。compromiseは準1級の超重要語。,,,,,,,,,,,,,,,,,
36,2018-2,handle,（問題を）扱う、対処する,取り除く,言い訳をする,探知する,"""...she could not **handle** working and going to college at the same time."" （...彼女は仕事と大学通いの両立に対処できませんでした。）","【正解】deal with, cope withと同義。手(hand)で扱う。【誤答】remove（取り除く）、excuse（言い訳をする/許す）、detect（探知する）。detective（探偵）の動詞形。",,,,,,,,,,,,,,,,,
37,2018-2,restore,修復する、回復させる,同行する,罰する,比較する,"""He had to spend a lot of money in order to **restore** the house..."" （彼は家を修復するために多くのお金を使わなければなりませんでした...）",【正解】元の状態に戻すこと。store（蓄える）をre（再び）。【誤答】accompany（同行する）、punish（罰する）、compare（比較する）。accompanyは「伴奏する」の意味も。,,,,,,,,,,,,,,,,,
38,2018-2,in demand,需要がある,共通の,前もって,詳細に,"""Air conditioners were **in demand** last summer because of the very hot temperatures."" （猛暑のため、昨年の夏はエアコンの需要がありました。）",【正解】欲しがられている状態。supply and demand（需要と供給）。【誤答】in common（共通して）、in advance（前もって）、in detail（詳細に）。in advanceはbeforehandと同義。,,,,,,,,,,,,,,,,,
39,2018-3,participate,参加する,広げる,遅らせる,ささやく,"""Scott has decided to **participate** in a marathon next month."" （スコットは来月のマラソンに参加することに決めました。）",【正解】take part inの堅い語。inを伴うのがポイント。【誤答】spread（広げる）、delay（遅らせる）、whisper（ささやく）。,,,,,,,,,,,,,,,,,
40,2018-3,illegal,違法な,一般的な,私的な,複雑な,"""I’m sorry, ma’am, but it’s **illegal** to park here."" （申し訳ありませんが、ここに駐車するのは違法です。）",【正解】legal（合法の）に否定のilがついた形。【誤答】common（一般的な）、private（私的な）、complex（複雑な）。complexはcomplicatedと同義。,,,,,,,,,,,,,,,,,
41,2018-3,insurance,保険,愛情,暴力,ミネラル,"""...he made sure that his health **insurance** would cover him..."" （...彼は自分の健康保険が適用されるか確認しました...）",【正解】万が一の備え。insure（保証する）。【誤答】affection（愛情）、violence（暴力）、mineral（ミネラル）。affectionはaffect（影響する）と混同しやすい名詞。,,,,,,,,,,,,,,,,,
42,2018-3,occupation,職業,署名,災害,感情,"""When people ask Lori what her **occupation** is..."" （ローリは職業は何かと聞かれると...）",【正解】jobの堅い語。occupy（占める）ことから「時間を占めるもの＝仕事」。【誤答】signature（署名）、disaster（災害）、emotion（感情）。,,,,,,,,,,,,,,,,,
43,2018-3,significance,重要性、意義,混乱,手当,発音,"""...few people understood its **significance**."" （...その重要性を理解していた人はほとんどいませんでした。）",【正解】importanceの堅い語。signify（意味する）の名詞形。【誤答】confusion（混乱）、allowance（手当/小遣い）、pronunciation（発音）。allowanceは「許容量」の意味でも重要。,,,,,,,,,,,,,,,,,
44,2018-3,enthusiasm,熱意,偶然の一致,起源,警告,"""The students began working with more **enthusiasm**..."" （生徒たちはより熱意を持って取り組み始めました...）",【正解】やる気、熱中。形容詞はenthusiastic。【誤答】coincidence（偶然の一致）、origin（起源）、warning（警告）。coincidenceは会話文やリスニングで「奇遇だね！」という時によく出ます。,,,,,,,,,,,,,,,,,
45,2019-1,ignorance,無知,旅,反対,通貨,"""Professor Holt was surprised by his students’ **ignorance** of World War I."" （ホルト教授は、第一次世界大戦に対する生徒たちの無知に驚きました。）",【正解】ignore（無視する）の名詞形ですが、「知らないこと」を指します。準1級長文では「知識不足」の文脈で頻出。【誤答】journey（旅）、opposite（反対）、currency（通貨）。currencyは経済トピックで必須。,,,,,,,,,,,,,,,,,
46,2019-1,frequency,頻度,発音,発明,リハーサル,"""The salesman decided to increase the **frequency** of his visits to his main clients."" （セールスマンは主要顧客への訪問頻度を増やすことに決めました。）",【正解】frequent（頻繁な）の名詞形。frequently（頻繁に）も重要。【誤答】pronunciation（発音）、invention（発明）、rehearsal（リハーサル）。,,,,,,,,,,,,,,,,,
47,2019-1,enlarge,拡大する,逆にする,消費する,目撃する,"""She decided to **enlarge** it so the audience could see it."" （聴衆が見えるように、彼女はそれを拡大することに決めました。）",【正解】en（動詞化）+ large（大きい）。写真を大きくする時などに使います。【誤答】reverse（逆にする）、consume（消費する）、witness（目撃する）。consumeとwitnessは準1級必須動詞。,,,,,,,,,,,,,,,,,
48,2019-1,commute,通勤・通学する,懇願する,振る舞う,資格を得る,"""It takes him more than an hour to **commute** to work every morning."" （毎朝仕事へ通勤するのに1時間以上かかります。）",【正解】電車や車で職場・学校へ通うこと。commuter train（通勤電車）。【誤答】appeal（懇願する/訴える）、behave（振る舞う）、qualify（資格を得る）。qualify for（～の資格がある）は重要。,,,,,,,,,,,,,,,,,
49,2019-1,impose,（税や義務を）課す,ひねる,文明化する,殺害する,"""The government is planning to **impose** a new tax on cars..."" （政府は車に新しい税を課すことを計画しています...）",【正解】im（上に）+ pose（置く）＝押し付ける。税金や罰金を課す文脈で頻出。【誤答】twist（ひねる）、civilize（文明化する）、murder（殺害する）。,,,,,,,,,,,,,,,,,
50,2019-1,parliament,議会、国会,オーケストラ,基礎,保育所,"""The new healthcare law was debated in **parliament** for days..."" （新しい医療法は数日間、議会で議論されました...）",【正解】英国などの議会。parley（話す）場所。【誤答】orchestra（オーケストラ）、foundation（基礎/財団）、nursery（保育所）。foundationは「設立」の意味でも重要。,,,,,,,,,,,,,,,,,
51,2019-1,capable of,～の能力がある,～に苦い思いをしている,～を気の毒に思う,～がない,"""...it has developed software **capable of** speeding up any business."" （...どんなビジネスも加速させる能力があるソフトウェアを開発しました。）",【正解】be able to doに近いが、capable of ～ingの形をとる。【誤答】bitter about（～に苦々しい思いがある）、sorry for（～を気の毒に思う）、free from（～がない/免除されている）。,,,,,,,,,,,,,,,,,
52,2019-1,acquainted,知り合いの、精通している,上位の,知識がある,注意深い,"""Tom, have you become **acquainted** with the new manager yet?"" （トム、新しいマネージャーともう知り合いになった？）",【正解】get acquainted with（～と知り合いになる）。make one's acquaintance（～と知り合う）など。【誤答】superior（上位の/優れた）、knowledgeable（知識がある）、mindful（注意深い）。superior to（～より優れている）は比較表現で重要。,,,,,,,,,,,,,,,,,
53,2019-1,entitled to,～の権利がある,～に関連した,～に行き詰まった,～に夢中な,"""...Steven felt that he was **entitled to** a pay raise."" （...スティーブンは自分には昇給の権利があると感じました。）",【正解】title（資格・称号）を与える。be entitled to do（～する権利がある）。【誤答】related to（～に関連した）、stuck in（～に行き詰まった/閉じ込められた）、absorbed in（～に夢中な）。absorbed inは準1級・共通テストで頻出。,,,,,,,,,,,,,,,,,
54,2019-2,factors,要因,郊外,乗り物,単位,"""The restaurant decided to close because of many **factors**."" （そのレストランは多くの要因のために閉店することに決めました。）",【正解】結果を生む要素。causeに近い。【誤答】suburbs（郊外）、vehicles（乗り物）、units（単位）。suburbsは都市問題の長文で出ます。,,,,,,,,,,,,,,,,,
55,2019-2,eventually,ついに、結局は,わずかに,穏やかに,重く,"""Mr. Johnson ... **eventually** became the karate teacher..."" （ジョンソン氏は...ついに空手の先生になりました。）",【正解】時間が経った末に。finallyより過程を含んだニュアンス。【誤答】slightly（わずかに）、mildly（穏やかに）、heavily（重く/激しく）。slightlyはグラフ問題で変化を表す際に必須。,,,,,,,,,,,,,,,,,
56,2019-2,disadvantage,不利な点、デメリット,材料,技術,基礎,"""...one **disadvantage** is that he often hits his head..."" （...ひとつの欠点は、彼がよく頭をぶつけることです...）",【正解】advantage（利点）の対義語。【誤答】ingredient（材料）、technique（技術）、foundation（基礎）。ingredientは料理や製品の成分表示で重要。,,,,,,,,,,,,,,,,,
57,2019-2,exclusive,独占的な、高級な,持ち運びできる,不可欠な,恥ずかしい,"""The Queen’s Forest Golf Club is very **exclusive**."" （クイーンズ・フォレスト・ゴルフクラブはとても高級（排他的）です。）",【正解】ex（外へ）+ clude（閉め出す）＝部外者を入れない。会員制クラブや独占記事などで使います。【誤答】portable（持ち運びできる）、vital（不可欠な）、embarrassed（恥ずかしい）。vitalはimportantの強調語。,,,,,,,,,,,,,,,,,
58,2019-2,did away with,～を廃止した,～に追いついた,～から逃げた,～を維持した,"""Greg was pleased when his school **did away** with its uniform."" （グレッグは学校が制服を廃止したとき喜びました。）",【正解】abolishと同義。2017年、2023年にも出題されている最重要熟語。【誤答】caught up (with)（～に追いついた）、got away（逃げた）、kept up (with)（～についていった）。,,,,,,,,,,,,,,,,,
59,2019-2,accustomed to,～に慣れている,～に関連した,～の罪がある,～に値する,"""...he has become **accustomed to** it over the last year."" （...彼はこの一年でそれに慣れました。）",【正解】be used to ～ingと同義。custom（習慣）から。【誤答】relevant to（～に関連した/適切な）、guilty of（～の罪がある/有罪の）、worthy of（～に値する）。relevantは準1級の超重要語。,,,,,,,,,,,,,,,,,
60,2019-3,adequate,十分な、適切な,明らかな,ばかげた,集中的な,"""Rick decided to quit his job because the pay was not **adequate**."" （給料が十分ではなかったので、リックは仕事を辞めることにしました。）",【正解】sufficientと同義。必要な量を満たしていること。【誤答】obvious（明らかな）、ridiculous（ばかげた）、intensive（集中的な）。intensive care unit (ICU) のintensive。,,,,,,,,,,,,,,,,,
61,2019-3,annually,毎年,無邪気に,視覚的に,客観的に,"""Now, the tournament is held **annually**."" （今では、トーナメントは毎年開催されています。）",【正解】年に一度。annual（毎年の）。【誤答】innocently（無邪気に/無実に）、visually（視覚的に）、objectively（客観的に）。objectivelyは論説文で重要。,,,,,,,,,,,,,,,,,
62,2019-3,vehicles,乗り物、車両,液体,障壁,温度計,"""Many different kinds of **vehicles**, from motorbikes to huge trucks..."" （バイクから巨大トラックまで、多種多様な車両が...）",【正解】車、トラック、バスなどの総称。【誤答】liquids（液体）、barriers（障壁）、thermometers（温度計）。barrierは「言葉の壁(language barrier)」などで出ます。,,,,,,,,,,,,,,,,,
63,2019-3,respond,反応する、返答する,告白する,引きずる,眉をひそめる,"""The actor ... could not **respond** to all of them himself."" （その俳優は...自分ですべてに返信することができませんでした。）",【正解】手紙や刺激に反応する。response（反応）。【誤答】confess（告白する）、drag（引きずる）、frown（眉をひそめる）。dragはPC操作でも使う語。,,,,,,,,,,,,,,,,,
64,2019-3,poverty,貧困,正確さ,量,好奇心,"""During his childhood, his family had almost no money. ... grew up in **poverty**."" （子供の頃、家族にはほとんどお金がありませんでした。...貧困の中で育ちました。）",【正解】poorの名詞形。eliminate poverty（貧困をなくす）。【誤答】accuracy（正確さ）、quantity（量）、curiosity（好奇心）。accuracyはaccurate（正確な）の名詞。,,,,,,,,,,,,,,,,,
65,2019-3,tolerate,我慢する、許容する,刺激する,邪魔をする,知らせる,"""Ben could not **tolerate** the noise anymore..."" （ベンはもう騒音を我慢できませんでした...）","【正解】put up with, stand, bearと同義。否定文で使われることが多いです。【誤答】stimulate（刺激する）、disturb（邪魔をする/乱す）、inform（知らせる）。",,,,,,,,,,,,,,,,,
66,2019-3,estimated,見積もった,同行した,建設した,伸ばした,"""Sally had **estimated** that she would have to pay about $80..."" （サリーは約80ドル支払うことになるだろうと見積もっていました...）",【正解】推測して計算する。estimation（見積もり）。【誤答】accompanied（同行した）、constructed（建設した）、stretched（伸ばした）。accompanyは「伴う」の意味で重要。,,,,,,,,,,,,,,,,,
67,2019-3,in terms of,～の点では、～の観点から,～の代わりに,～によって,～の上に,"""**In terms** of cost, it was very expensive..."" （費用の点では、それはとても高額でしたが...）",【正解】ある視点から評価する際に使う重要表現。【誤答】in place of（～の代わりに）、by means of（～によって/～という手段で）、on top of（～の上に/～に加えて）。,,,,,,,,,,,,,,,,,
68,2019-3,working out,運動する、（問題が）解ける,維持する,立ち上がる,配る,"""Oh, I’ve been **working out** at a gym three times a week."" （ああ、週に3回ジムで運動しているんだ。）",【正解】体を鍛える、または問題が解決する(solve)。【誤答】keeping up（維持する/ついていく）、standing up（立ち上がる）、giving out（配る/尽きる）。,,,,,,,,,,,,,,,,,
69,2020-1,affection,愛情,感染,影響,一部,"""Roger feels great **affection** for his cat."" （ロジャーは飼い猫に大きな愛情を感じています。）",【正解】好意、愛情。affect（影響する）の名詞形ですが意味に注意。【誤答】infection（感染）、effect（影響/効果）、fraction（一部）。infectionは医療系長文で必須。,,,,,,,,,,,,,,,,,
70,2020-1,individually,個別に,産業的に,必然的に,徐々に,"""...the students first had to perform **individually**."" （...生徒たちはまず個別に（一人ずつ）演じなければなりませんでした。）",【正解】一人ひとり、別々に。separatelyと同義。【誤答】industrially（産業的に）、inevitably（必然的に）、gradually（徐々に）。inevitablyは準1級・1級レベルの論理語。,,,,,,,,,,,,,,,,,
71,2020-1,compensate,補償する、埋め合わせる,競争する,構成する,不平を言う,"""...gave each passenger $20 to **compensate** them for the time that they lost."" （...失った時間の埋め合わせをする（補償する）ために、各乗客に20ドルを与えました。）",【正解】損失などを金銭や行動で補うこと。make up forの堅い語。【誤答】compete（競争する）、compose（構成する）、complain（不平を言う）。competeとスペルが似ているので注意。,,,,,,,,,,,,,,,,,
72,2020-1,civilizations,文明,市民,計算,お祝い,"""Hiroshi often reads books about how people lived in ancient **civilizations**."" （ヒロシは古代文明の人々がどう暮らしたかについての本をよく読みます。）",【正解】高度に発達した社会や文化。civil（市民の）から派生。【誤答】civilians（一般市民）、calculations（計算）、celebrations（お祝い）。civiliansは戦争・軍事記事で重要。,,,,,,,,,,,,,,,,,
73,2020-1,struggling,奮闘している、苦労している,予報している,逮捕している,機能している,"""The staff members ... were **struggling** because their computers were so slow."" （スタッフたちは...コンピュータがとても遅いので苦労していました。）",【正解】困難な状況でもがくこと。struggle to do（～しようと悪戦苦闘する）。【誤答】forecasting（予報している）、arresting（逮捕している）、functioning（機能している）。functionは機械が動くという意味で重要。,,,,,,,,,,,,,,,,,
74,2020-1,implying,ほのめかす、暗に示す,輸入する,改善する,実行する,"""Maybe she is **implying** that she wants to go on a date with you."" （たぶん彼女は、あなたとデートに行きたいとほのめかしているんだよ。）",【正解】はっきり言わずに伝える。suggestに近い。【誤答】importing（輸入する）、improving（改善する）、implementing（実行する）。implementはビジネス英語の必須語。,,,,,,,,,,,,,,,,,
75,2020-1,think over,～をじっくり考える,～を思いつく,～を見下す,～を尊敬する,"""...Nick’s boss said she would **think over** what he had said..."" （...ニックの上司は、彼が言ったことをじっくり考えると言いました...）",【正解】consider carefullyのこと。overには「～について」や「全体を覆って」というニュアンスがあります。【誤答】think up（思いつく）、look down on（見下す）、look up to（尊敬する）。,,,,,,,,,,,,,,,,,
