ID,出典,問題文,正解,誤答1,誤答2,誤答3,意味・分類タグ,文意訳（ヒント）,解説,,,,,,,,,,,,,,,,
19,2017-2,I ( ) worked at Miller Steel. I was the sales manager there for five years.,previously,gradually,consequently,electronically,副詞・以前に,私は以前、ミラー・スチール社で働いていました。,【正解のポイント】過去の経歴。previously（以前に）。【紛らわしい選択肢】consequently（その結果）は論理構成の重要語。,,,,,,,,,,,,,,,,
20,2017-2,"Before visitors enter the museum, their bags are ( ) by security officers.",inspected,translated,illustrated,transformed,動詞・検査する,来館者が博物館に入る前に、彼らのバッグは警備員によって検査されます。,【正解のポイント】警備員によるチェック。inspected（検査する）。【紛らわしい選択肢】transformed（変形させる）。,,,,,,,,,,,,,,,,
21,2017-2,The advice book said that communication was an important ( ) of marriage.,element,surface,bargain,loan,名詞・要素,そのアドバイス本には、コミュニケーションは結婚生活の重要な要素であると書かれていました。,【正解のポイント】構成要素。element（要素）。【紛らわしい選択肢】bargain（取引・特売）、loan（貸付）。,,,,,,,,,,,,,,,,
22,2017-2,They finally came to an ( ) that they would each pay half of the cost.,agreement,illusion,origin,essence,名詞・合意,彼らはついに、費用を折半するという合意に達しました。,【正解のポイント】話し合いの結果。agreement（合意）。【紛らわしい選択肢】illusion（幻想）、essence（本質）。抽象名詞の識別問題です。,,,,,,,,,,,,,,,,
23,2017-2,"In 1964, the African countries of Tanganyika and Zanzibar ( ) to form a single country.",united,complained,breathed,fascinated,動詞・統合する,1964年、タンガニーカとザンジバルというアフリカの国々が統合し、一つの国になりました。,【正解のポイント】一つの国になる。united（統合した、団結した）。【紛らわしい選択肢】fascinated（魅了した）。,,,,,,,,,,,,,,,,
24,2017-2,John could ( ) with her because the same thing had happened to him once.,sympathize,betray,concentrate,persuade,動詞・同情する,ジョンはかつて同じことが自分にも起こったので、彼女に同情することができました。,【正解のポイント】気持ちを共有する。sympathize (with)（同情する）。【紛らわしい選択肢】betray（裏切る）、persuade（説得する）は長文のキーになる動詞です。,,,,,,,,,,,,,,,,
25,2017-2,Denise used her computer to calculate the ( ) of all the money she had spent.,sum,text,era,fuel,名詞・合計,デニスはコンピュータを使って、使ったお金の合計を計算しました。,【正解のポイント】お金の計算。sum（合計）。summarize（要約する）の親戚。【紛らわしい選択肢】era（時代）、fuel（燃料）。,,,,,,,,,,,,,,,,
26,2017-2,He has made a lot of money since he started ( ) them to other countries.,exporting,shortening,observing,decorating,動詞・輸出する,彼はそれらを他の国へ輸出し始めてから、多くのお金を稼ぎました。,【正解のポイント】海外へ売る。exporting（輸出する）。対義語はimport。【紛らわしい選択肢】observing（観察する・遵守する）。,,,,,,,,,,,,,,,,
27,2017-2,"Some of his stamps are very hard to ( ) by, so they are worth a lot of money.",come,stand,go,drop,句動詞・手に入れる,彼の切手のいくつかは手に入れるのが非常に難しいため、高い価値があります。,【正解のポイント】入手困難。come by（手に入れる）。Get/Obtainの熟語表現。【紛らわしい選択肢】stand by（傍観する・待機する）、drop by（立ち寄る）。,,,,,,,,,,,,,,,,
28,2017-2,He was disappointed at having traveled all that way for ( ).,nothing,anything,everything,something,熟語・無駄に,彼はわざわざ遠くまで行ったのに無駄になったことにがっかりしました。,【正解のポイント】目的が果たせなかった。for nothing（無駄に、無料で）。【紛らわしい選択肢】anythingなどの代名詞との組み合わせ。,,,,,,,,,,,,,,,,
29,2017-2,"You bought lunch last week, so this time it’s ( ) me.",on,with,behind,over,熟語・私のおごり,先週はあなたがランチを買ってくれたから、今回は私のおごりです。,【正解のポイント】It's on me（私のおごりだ）。支払いの負担を表すon。【紛らわしい選択肢】前置詞の用法の穴埋めは盲点になりがちです。,,,,,,,,,,,,,,,,
30,2017-2,Elliot is ( ) being home alone after school.,accustomed to,cautious of,similar to,ashamed of,熟語・慣れている,エリオットは放課後、家で一人でいることに慣れています。,【正解のポイント】be accustomed to ～ing（～に慣れている）。【紛らわしい選択肢】cautious of（用心深い）、ashamed of（恥じている）。,,,,,,,,,,,,,,,,
31,2017-2,The school is going to ( ) the old system of exams.,do away with,fit in with,get used to,give rise to,句動詞・廃止する,その学校は、古い試験制度を廃止するつもりです。,【正解のポイント】制度をなくす。do away with（廃止する）。【紛らわしい選択肢】give rise to（引き起こす）は因果関係を表す重要熟語。,,,,,,,,,,,,,,,,
32,2017-2,"On April Fool’s Day, Nancy decided to ( ) a trick on her husband.",play,bring,lead,prove,熟語・いたずらする,エイプリルフールに、ナンシーは夫にいたずらをすることに決めました。,【正解のポイント】play a trick on（～にいたずらをする）。【紛らわしい選択肢】prove（証明する）。,,,,,,,,,,,,,,,,
33,2017-3,My mother has an ( ) memory. She can easily remember phone numbers.,incredible,artificial,innocent,arrogant,形容詞・信じられない,私の母は信じられないほどの記憶力を持っています。,【正解のポイント】素晴らしい能力。incredible（信じられないほどの）。【紛らわしい選択肢】artificial（人工的な）、arrogant（傲慢な）。,,,,,,,,,,,,,,,,
34,2017-3,The scientist invented a ( ) that can cheaply and quickly measure the amount of pollution.,device,harbor,temper,legend,名詞・装置,その科学者は、汚染の量を安く素早く測定できる装置を発明しました。,【正解のポイント】機械や道具。device（装置）。【紛らわしい選択肢】temper（気質・短気）、legend（伝説）。,,,,,,,,,,,,,,,,
35,2017-3,She feels that her boss is not treating her ( ).,fairly,widely,deeply,vaguely,副詞・公平に,彼女は上司が自分を公平に扱っていないと感じています。,【正解のポイント】扱い方について。fairly（公平に）。【紛らわしい選択肢】vaguely（あいまいに）は準1級レベルの副詞。,,,,,,,,,,,,,,,,
36,2017-3,She had to prepare a schedule and ( ) all the activities.,organize,prevent,complicate,harvest,動詞・まとめる,彼女はスケジュールを準備し、すべての活動をまとめなければなりませんでした。,【正解のポイント】計画・管理する。organize（組織する、まとめる）。【紛らわしい選択肢】complicate（複雑にする）、harvest（収穫する）。,,,,,,,,,,,,,,,,
37,2017-3,"With his friends’ ( ), Joe was able to move all of his things into his new house.",assistance,recreation,conflict,planet,名詞・支援,友人たちの支援のおかげで、ジョーはすべての荷物を新しい家に運ぶことができました。,【正解のポイント】助け。assistance（支援）。【紛らわしい選択肢】conflict（対立）。,,,,,,,,,,,,,,,,
38,2017-3,I just spilled wine on my dress. It’s ( ).,ruined,melted,argued,launched,動詞・台無しにする,ドレスにワインをこぼしちゃった。台無しよ。,【正解のポイント】ダメになった状態。ruined（台無しになった、破滅した）。【紛らわしい選択肢】launched（発射した、開始した）。,,,,,,,,,,,,,,,,
39,2017-3,Amy ( ) $300 from her bank account so she could buy a new watch.,withdrew,refused,embraced,overtook,動詞・引き出す,エイミーは新しい時計を買うために、銀行口座から300ドルを引き出しました。,【正解のポイント】預金をおろす。withdrew（引き出した）。【紛らわしい選択肢】embraced（受け入れた、抱擁した）、overtook（追い越した）。,,,,,,,,,,,,,,,,
40,2017-3,The town has made an effort to ( ) the views of its beaches.,preserve,publish,replace,restrict,動詞・保護する,その町は、ビーチの景観を保護するために努力してきました。,【正解のポイント】景観を守る。preserve（保護する）。【紛らわしい選択肢】restrict（制限する）。,,,,,,,,,,,,,,,,
41,2017-3,"When she got home, she read the ( ) carefully.",instructions,campaigns,lifestyles,stocks,名詞・説明書,家に帰ると、彼女はその説明書を注意深く読みました。,【正解のポイント】組み立て方などが書かれたもの。instructions（説明書、指示）。【紛らわしい選択肢】stocks（在庫、株）。,,,,,,,,,,,,,,,,
42,2017-3,Socrates was a great ( ) who lived in ancient Greece.,philosopher,explorer,competitor,spectator,名詞・哲学者,ソクラテスは古代ギリシャに生きた偉大な哲学者でした。,【正解のポイント】ソクラテス＝philosopher（哲学者）。【紛らわしい選択肢】spectator（観客）はスポーツ観戦などの文脈で出ます。,,,,,,,,,,,,,,,,
43,2017-3,"Luckily, a driver stopped and ( ) him a ride to a repair shop.",gave,made,heard,sent,熟語・車に乗せる,幸運にも、ある運転手が止まって、修理工場まで彼を車に乗せてくれました。,【正解のポイント】give someone a ride（人を車に乗せる）。日常会話表現です。,,,,,,,,,,,,,,,,
44,2017-3,Judy was ( ) joy when she got the news that she had been accepted.,filled with,due to,reminded of,suffering from,熟語・～で満ちる,合格の知らせを聞いたとき、ジュディは喜びでいっぱいでした。,【正解のポイント】be filled with（～で満たされている）。【紛らわしい選択肢】suffering from（～で苦しんでいる）。,,,,,,,,,,,,,,,,
45,2017-3,She asked him to ( ) it to himself until she told their boss.,keep,turn,speak,push,熟語・秘密にする,彼女は上司に話すまでは、それを秘密にしておくよう彼に頼みました。,【正解のポイント】keep it to oneself（秘密にしておく、胸にしまっておく）。,,,,,,,,,,,,,,,,
46,2017-3,The noise was so loud that students could not ( ) their exam.,concentrate on,interfere with,see about,laugh at,句動詞・集中する,騒音がとても大きかったので、生徒たちは試験に集中できませんでした。,【正解のポイント】concentrate on（集中する）。【紛らわしい選択肢】interfere with（邪魔する、干渉する）。,,,,,,,,,,,,,,,,
47,2017-3,"Yes, they’re very ( ). They live in a huge house.",well off,straight on,left on,far off,熟語・裕福な,ええ、彼らはとても裕福です。大きな家に住んでいます。,【正解のポイント】お金持ちである。well off（裕福な）。Richの言い換え。,,,,,,,,,,,,,,,,
48,2017-3,"Honey, could you ( ) my suit at the dry cleaner’s on your way to work?",drop off,rule out,leave out,switch off,句動詞・置いてくる,ねえ、仕事に行く途中でクリーニング店に私のスーツを置いてきてくれない？,【正解のポイント】人や物を降ろす/届ける。drop off（置いてくる、車から降ろす）。【紛らわしい選択肢】rule out（除外する）は準1級レベル。,,,,,,,,,,,,,,,,
49,2017-3,The problem was very easy ( ). Almost everyone got the right answer.,to solve,solving,be solved,having solved,文法・不定詞,その問題は解くのがとても簡単でした。,【正解のポイント】Easy to do（～するのが簡単）。形容詞を修飾する不定詞。【紛らわしい選択肢】動名詞や受動態の形。,,,,,,,,,,,,,,,,
50,2017-1,"When people catch diseases caused by bacteria, they are often given drugs called ( ).",antibiotics,antibodies,antonyms,antiques,長文語彙・抗生物質,バクテリアによる病気にかかると、抗生物質と呼ばれる薬がしばしば投与されます。,【正解のポイント】長文（Battling Bacteria）のキーワード。antibiotics（抗生物質）。【紛らわしい選択肢】antibodies（抗体）、antiques（骨董品）。,,,,,,,,,,,,,,,,
51,2017-2,Using sound in this way is called ( ).,echolocation,navigation,communication,interaction,長文語彙・反響定位,このように音を使うことは、反響定位（エコーロケーション）と呼ばれています。,【正解のポイント】長文（The Killer Whale’s Meal）のキーワード。イルカやコウモリの能力。echo（反響）＋location（位置特定）。,,,,,,,,,,,,,,,,
52,2017-2,Supermarkets have ( ) for farmers.,strict requirements,gentle requests,flexible options,basic needs,長文語彙・厳しい要件,スーパーマーケットは農家に対して厳しい要件を課しています。,【正解のポイント】長文（A Solution for Two）の文脈。strict requirements（厳しい要件・基準）。食品ロス（food waste）の原因として語られています。,,,,,,,,,,,,,,,,
53,2017-3,Potts Dawson decided to open London’s first environmentally ( ) restaurant.,sustainable,suitable,substantial,suspicious,長文語彙・持続可能な,ポッツ・ドーソンは、ロンドン初の環境的に持続可能なレストランを開くことに決めました。,【正解のポイント】長文（The Eco-Chef）のテーマ。sustainable（持続可能な）は現代英語の最重要単語の一つです。,,,,,,,,,,,,,,,,
54,2017-3,The word ( ) means reading books with the goal of treating mental problems.,bibliotherapy,psychology,philosophy,biography,長文語彙・読書療法,「ビブリオセラピー」という言葉は、精神的な問題を治療する目的で本を読むことを意味します。,【正解のポイント】長文（Bibliotherapy）の定義文。biblio（本）+ therapy（療法）。接頭辞biblioはbibliography（参考文献）などにも使われます。,,,,,,,,,,,,,,,,
55,2017-3,"In recent years, ( ), and in particular the study of DNA, has become an important tool.",genetics,generics,geometry,geography,長文語彙・遺伝学,近年、遺伝学、特にDNAの研究は重要なツールとなっています。,【正解のポイント】長文（Bringing Back Ancient Plants）より。genetics（遺伝学）。gene（遺伝子）の学問。【紛らわしい選択肢】geography（地理学）、geometry（幾何学）。,,,,,,,,,,,,,,,,
56,2018-1,Wendy wants to ( ) her school in a national science contest.,represent,collapse,insult,obtain,動詞・代表する,ウェンディは全国科学コンテストで学校を代表したいと思っています。,【正解のポイント】学校の顔として参加する文脈。representは「代表する、表す」です。【紛らわしい選択肢】collapse（崩壊する）、insult（侮辱する）、obtain（入手する）。準1級ではrepresentatives（代表者）という名詞形も頻出です。,,,,,,,,,,,,,,,,
57,2018-1,"Dan was raised in England by his Italian mother and Japanese father, so there was always an interesting ( ) of cultures in his home.",mixture,forehead,lane,costume,名詞・混合,ダンはイギリスでイタリア人の母と日本人の父に育てられたので、家にはいつも興味深い文化の混合がありました。,【正解のポイント】異なる文化が混ざり合っている状態。mixture（混合）。【紛らわしい選択肢】forehead（額）、lane（車線）、costume（衣装）。,,,,,,,,,,,,,,,,
58,2018-1,It took a long time for the rescuers to find them because the area was so ( ).,isolated,punctual,responsible,frightened,形容詞・孤立した,その地域はとても孤立していた（へんぴな場所だった）ので、救助隊が彼らを見つけるのに長い時間がかかりました。,【正解のポイント】救助が困難なほど人がいない場所。isolatedは「孤立した、隔絶された」。isolation（孤立）も重要語。【紛らわしい選択肢】punctual（時間を守る）、responsible（責任がある）、frightened（怯えた）。,,,,,,,,,,,,,,,,
59,2018-1,"I know you’ve been doing well in class all year, but there’s no ( ) that you’ll pass the final exam.",guarantee,blame,license,spell,名詞・保証,一年中クラスで成績が良くても、期末試験に受かるという保証はありません。,【正解のポイント】「～とは限らない」という文脈。guarantee（保証）。There is no guarantee that... は英作文でも使える定型表現です。【紛らわしい選択肢】blame（非難）、license（免許）。,,,,,,,,,,,,,,,,
60,2018-1,She began stretching and doing yoga to improve her ( ).,flexibility,gravity,sympathy,anniversary,名詞・柔軟性,彼女は体の柔軟性を高めるためにストレッチとヨガを始めました。,【正解のポイント】ヨガの目的。flexibility（柔軟性）。ビジネス文脈では「融通が利くこと」という意味で準1級・1級頻出です。【紛らわしい選択肢】gravity（重力）、sympathy（同情）、anniversary（記念日）。,,,,,,,,,,,,,,,,
61,2018-1,"If a student ( ) a rule, the school immediately calls his or her parents.",violates,delays,approaches,translates,動詞・違反する,もし生徒が規則に違反したら、学校はすぐに親に電話します。,【正解のポイント】ルールを破ること。violates（違反する）。break a ruleのフォーマルな言い換え。【紛らわしい選択肢】delays（遅らせる）、approaches（接近する）、translates（翻訳する）。,,,,,,,,,,,,,,,,
62,2018-1,"When Elizabeth Beckingham came out of the car, she was ( ) by a big crowd of fans.",surrounded,traded,immigrated,corrected,動詞・囲まれる,エリザベス・ベッキンガムが車から出たとき、彼女は大勢のファンに囲まれました。,【正解のポイント】群衆の中にいる状態。surrounded（囲まれた）。【紛らわしい選択肢】traded（貿易した）、immigrated（移住した）、corrected（訂正した）。,,,,,,,,,,,,,,,,
63,2018-1,The recent forest fires greatly changed the ( ) around Amy’s town.,landscape,instinct,symbol,policy,名詞・風景,最近の森林火災は、エイミーの町の周りの風景を大きく変えました。,【正解のポイント】火事で木がなくなった結果変わるもの。landscape（風景、景観）。【紛らわしい選択肢】instinct（本能）は生物系長文の必須語。policy（政策）。,,,,,,,,,,,,,,,,
64,2018-1,"Look at all this traffic, Gary. We’re ( ) going to be late for our meeting.",obviously,jealously,strangely,generously,副詞・明らかに,見てよこの交通量、ゲイリー。私たちは明らかに会議に遅れるよ。,【正解のポイント】渋滞を見て確信している。obviously（明らかに）。【紛らわしい選択肢】generously（寛大に）。lyで終わる副詞の識別問題は2級の定番です。,,,,,,,,,,,,,,,,
65,2018-1,"He ran out of the store, ( ) her down the street, and gave the money back to her.",chased,poured,managed,disturbed,動詞・追いかける,彼はお釣りを取り忘れた客を追いかけて店を飛び出し、お金を返しました。,【正解のポイント】走って追いかける。chased（追いかけた）。【紛らわしい選択肢】poured（注いだ）、managed（なんとか成し遂げた）、disturbed（邪魔した）。,,,,,,,,,,,,,,,,
66,2018-1,There are enough computers in the IT room for 30 students to work there ( ).,at one time,over the edge,all the way,in the air,熟語・同時に,IT室には、30人の学生が同時にそこで作業できる十分な数のコンピュータがあります。,【正解のポイント】一度に、同時に。at one time。【紛らわしい選択肢】in the air（空中に、未決定で）。at a time（一度に）との混同に注意。,,,,,,,,,,,,,,,,
67,2018-1,"Bob said he’d come to work early this morning, but he didn’t ( ) until ten o’clock.",show up,pull away,try out,reach out,句動詞・現れる,ボブは今朝早く仕事に来ると言ったのに、10時まで現れませんでした。,【正解のポイント】人が来る。show up（姿を現す）。appearの口語表現。【紛らわしい選択肢】reach out（手を伸ばす、連絡を取る）はビジネス英語で頻出。,,,,,,,,,,,,,,,,
68,2018-1,It seems like things often ( ) wrong with Brad’s car.,go,make,keep,do,熟語・調子が悪くなる,ブラッドの車はよく調子が悪くなるみたいです。,【正解のポイント】go wrongで「故障する、うまくいかなくなる」。go bad（腐る）と同じく、go＋形容詞で「（悪い状態に）なる」を表します。,,,,,,,,,,,,,,,,
69,2018-1,Tom never says no to him ( ) of losing his job.,for fear,on behalf,on account,for need,熟語・～を恐れて,トムは仕事を失うのを恐れて、彼（上司）に決してノーと言いません。,【正解のポイント】for fear of ～ing（～するのを恐れて）。【紛らわしい選択肢】on behalf of（～を代表して）、on account of（～のために）も超重要熟語です。,,,,,,,,,,,,,,,,
70,2018-1,Jennifer started to have ( ) about becoming an artist when she realized how difficult it would be.,second thoughts,a big mouth,the last word,small changes,熟語・二の足を踏む,ジェニファーは、それがいかに難しいかに気づいたとき、アーティストになることについて再考し始めました（迷い始めました）。,【正解のポイント】have second thoughts（考え直す、迷う）。最初の決断を疑うこと。【紛らわしい選択肢】have a big mouth（口が軽い）。,,,,,,,,,,,,,,,,
71,2018-1,A thief broke ( ) Jack’s shop late last night and stole a lot of valuable jewelry.,into,under,up,out,句動詞・押し入る,昨夜遅く、泥棒がジャックの店に押し入り、多くの高価な宝石を盗みました。,【正解のポイント】建物に侵入する。break into。【紛らわしい選択肢】break up（解散する・別れる）、break out（勃発する）。break系句動詞は必須です。,,,,,,,,,,,,,,,,
72,2018-1,"It’s getting late, and I’m tired. Do you want to ( ), Heidi?",call it a day,lose your way,wait your turn,make it a rule,熟語・切り上げる,遅くなってきたし、疲れたよ。ハイジ、もう終わりにしない？,【正解のポイント】仕事を切り上げる、終わりにする。call it a day。日常会話やリスニングで頻出のイディオムです。,,,,,,,,,,,,,,,,
73,2018-1,Scientists have discovered that ( ) lights can cause a variety of health problems.,artificial,natural,solar,chemical,長文語彙・人工的な,科学者たちは、人工的な光が様々な健康問題を引き起こす可能性があることを発見しました。,【正解のポイント】長文（Getting Light Right）より。artificial（人工の）。対義語はnatural。AI（Artificial Intelligence）のAです。,,,,,,,,,,,,,,,,
74,2018-1,"In nature, many plants and animals have what is called ( ).",symmetry,gravity,chemistry,history,長文語彙・対称性,自然界では、多くの動植物が「対称性（シンメトリー）」と呼ばれるものを持っています。,【正解のポイント】長文（The Symmetry of Speed）のテーマ語。左右対称であること。,,,,,,,,,,,,,,,,
75,2018-2,She’d love to hear from you ( ). Why don’t you give her a call tonight?,directly,historically,barely,previously,副詞・直接,彼女はあなたから直接連絡をもらいたがるわ。今夜電話してみたら？,【正解のポイント】人づてではなく本人の口から。directly（直接に）。【紛らわしい選択肢】barely（かろうじて）、previously（以前に）。,,,,,,,,,,,,,,,,
76,2018-2,"The new movie ( ) some very famous actors, including Tom MacDonald.",features,deletes,monitors,reminds,動詞・特集する,その新しい映画は、トム・マクドナルドを含む何人かの非常に有名な俳優を特集しています（出演させています）。,【正解のポイント】「特徴」という名詞だけでなく、「（主役として）出演させる、特集する」という動詞の意味が重要。features。【紛らわしい選択肢】reminds（思い出させる）。,,,,,,,,,,,,,,,,
77,2018-2,I have a very ( ) message for her.,urgent,relative,generous,cruel,形容詞・緊急の,彼女への非常に緊急の伝言があります。,【正解のポイント】すぐに伝える必要がある。urgent（緊急の）。【紛らわしい選択肢】generous（気前の良い）、cruel（残酷な）。,,,,,,,,,,,,,,,,
78,2018-2,The students had difficulty understanding some ( ) in the textbook.,concepts,whispers,deposits,apologies,名詞・概念,生徒たちは教科書の中のいくつかの概念を理解するのに苦労しました。,【正解のポイント】抽象的な考え方。concepts（概念）。準1級の長文はconceptの理解が鍵になります。【紛らわしい選択肢】deposits（預金・手付金）、apologies（謝罪）。,,,,,,,,,,,,,,,,
79,2018-2,"Jack ( ) his friends by telling them that he was working as a top chef. Actually, he was a waiter.",deceived,established,endured,disposed,動詞・だます,ジャックはトップシェフとして働いていると言って友人をだましました。実際はウェイターでした。,【正解のポイント】嘘をつく、欺く。deceived（だました）。【紛らわしい選択肢】endured（耐えた）、disposed（処分した）。これらは全て準1級レベルの動詞です。,,,,,,,,,,,,,,,,
80,2018-2,The computer company studied its sales ( ) to learn more about who was buying its products.,statistics,compromises,terminals,religions,名詞・統計,そのコンピュータ会社は、誰が製品を買っているかを知るために売上統計を調査しました。,【正解のポイント】データ分析。statistics（統計）。【紛らわしい選択肢】compromises（妥協）は頻出語。terminals（末端、ターミナル）。,,,,,,,,,,,,,,,,
81,2018-2,Cynthia quit her part-time job because she could not ( ) working and going to college at the same time.,handle,remove,excuse,detect,動詞・対処する,シンシアは、仕事と大学を両立することが（うまく扱え）できなかったので、アルバイトを辞めました。,【正解のポイント】（問題を）扱う、処理する。handle。【紛らわしい選択肢】detect（探知する）、excuse（言い訳をする）。,,,,,,,,,,,,,,,,
